StudyDescription	Modality	platform	frequency
Thorax^XL_CHEST_WO_Customized (Adult)	CT	MIDRC	7
FOOT RIGHT COMPLETE MIN 3 VIEWS	CR, DX	MIDRC	7
MR BRAIN WITHOUT CONTRAST	MR	MIDRC	7
CT ANGIOGRAM ABDOMEN/PELVIS WITH AND WITHOUT CONTRAST	CT	MIDRC	7
ACRIN ABR BREAST	MR	ACRdart,IDC	7
ADULT CHEST - 1 VIEW	CR, DX	MIDRC	7
XR LEFT HIP 2-3 VIEWS (UNILATERAL) WITH PELVIS WHEN PERFORMED	DX	MIDRC	7
CTA CHEST W/O & W IV CON	CT	MIDRC	7
Thorax^FLASH_PE_Customized (Adult)	CT	MIDRC	7
Thorax^CTA_CHEST_ABDOMEN (Adult)	CT	MIDRC	7
Mammo 3D Tomo Screening Bilateral	MG	ACRdart,IDC	7
CT CHEST ABDOMEN WO CONTRAST (ROUTINE)	CT	MIDRC	7
CT FACE SINUSES W CONTRAST	CT	MIDRC	7
MR CERVICAL SPINE WITH AND WITHOUT CONTRAST	MR	MIDRC	7
X-RAY HAND 2 VIEWS - LEFT	CR, DX	MIDRC	7
Thorax^CTA_AAA (Adult)	CT	MIDRC	7
CT ABD PELVIS WITH CONTRAST-CS	CT	MIDRC	7
CT ABDOMEN/PELVIS ANGIO W OR W AND WO IV CONTRAST	CT	MIDRC	7
JHN CHEST WO OP	CT	MIDRC	7
CT CERVICAL SPINE WITHOUT CONTRAST	CT	MIDRC	7
MRI BR UNI W/IN/MBUI	MR, SEG	IDC	7
CT CERVICAL SPINE WO IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	7
Head^BRAIN_LAB_HEAD (Adult)	CT	MIDRC	7
CT CHEST ABDOMEN PELVIS W IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	7
X-RAY HAND MINIMUM 3 VIEWS - LEFT	CR, DX	MIDRC	7
RADIATION ONCOLOGY CT TREATMENT PLAN	CT	MIDRC	7
CT CARDIAC MORPHOLOGY WO/W	CT, nan	IDC,TCIA	6
CODE_T_CT_THOR_LMBR_SPINAL_REFORMATS	CT, nan	IDC,TCIA,MIDRC	6
*CT Colonography	CT, nan	IDC,TCIA	6
CT CHEST ABDOMEN & PELVIS ENHANCED-BODY	CT, nan	IDC,TCIA	6
X-RAY FOOT 2 VIEWS - RIGHT	DX	MIDRC	6
no comment	PT, nan	IDC,TCIA	6
CHEST/ABD/PEL	SEG, nan	IDC,TCIA	6
CT CAP WO CONTRAST	CT	MIDRC	6
CONTRA BREAST (LEFT)	MR, nan	IDC,TCIA	6
CT CHEST ANGIOGRAPH W IV CONTRAST PULMONAR EMBOLISM	CT	MIDRC	6
CONTRA BREAST RIGHT	MR, nan	IDC,TCIA	6
CT C/A	CT, SEG, nan	IDC,TCIA	6
CT CAP W	SEG, nan	IDC,TCIA	6
CT C/A/P LIVER PR.	SEG, nan	IDC,TCIA	6
ct ap	CT, nan	IDC,TCIA	6
X-RAY HAND 2 VIEWS - RIGHT	CR, DX	MIDRC	6
CODE_T_CT_ANGIO_ABD_AND_PEL_WITH_IV_CON_WITH_CHEST_IMAG	CT, nan	IDC,TCIA,MIDRC	6
CODE T CHEST AP PORTABLE	CR, nan	IDC,TCIA,MIDRC	6
XR SPINE LUMBAR (AP+LAT)	CR, DX	MIDRC	6
cap	CT, nan	IDC,TCIA	6
_t1of7  External Images for PACS	MR, nan	IDC,TCIA	6
CT HEAD WO(Adult)	CT	MIDRC	6
CT, ABDOMEN W/O CONTRA	CT, nan	IDC,TCIA	6
CT ABD/PELV W CONTRAST	CT, nan	IDC,TCIA	6
XR RIBS, RIGHT	DX	MIDRC	6
CT UPPER ABD AND PELVIS WWO	CT, nan	IDC,TCIA	6
CT ABDOMEN  W/CONTRAST	CT, nan	IDC,TCIA	6
CT LUNG SCREEN WO CONTRAST	CT	MIDRC	6
CT NECK/THYROID W CONTRAST	CT	MIDRC	6
CT ABDOMEN WITH IV CON	CT, nan	IDC,TCIA	6
_t1of8External Images for PACS	MR, nan	IDC,TCIA	6
CT TRAUMA T-SPINE RECONSTRUCT (RAD ONLY)	CT	MIDRC	6
CT ABDOMEN WITH AND WI	CT, nan	IDC,TCIA	6
_t1of6  External Images for PACS	MR, nan	IDC,TCIA	6
CT ABD/PEL	CT, SEG, nan	IDC,TCIA	6
CT ABDOMEN AND PELVIS ANGIOGRAM=AB	RTSTRUCT, nan	IDC,TCIA	6
CT P CHEST W	CT	MIDRC	6
CT PELVIS W CONTRAST (ROUTINE)	CT	MIDRC	6
CT PELVIS WO CONTRAST (ROUTINE)	CT	MIDRC	6
CT ABDOMEN W IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	6
CT ABDOMEN W CONTRAST (ROUTINE)	CT	MIDRC	6
_t1of3_MR IAMs	nan	TCIA	6
_t1of3_MR IAM's	MR	IDC	6
_t1of2  External Images for PACS	MR, nan	IDC,TCIA	6
CT THORAX  WITHOUT CONTRAST	CT, nan	IDC,TCIA	6
CT ABDOMEN PELVIS W CONT (2)	CT, nan	IDC,TCIA	6
CT THORAX W CONT FIC	CT, nan	IDC,TCIA	6
CT ABDOMEN/PELVIS WITH CONTRAST (S)	CT	MIDRC	6
CT ABD+PELVIS W/WO 74178	CT, nan	IDC,TCIA	6
CT CHEST W/O IV CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA	6
CT ABD & PELVIS W/CONTRAST	nan	TCIA	6
X-RAY KNEE COMPLETE 4 OR MORE VIEWS - RIGHT	CR, DX	MIDRC	6
X-RAY LUMBOSACRAL SPINE MINIMUM 4 VIEWS	CR, DX	MIDRC	6
CT CHEST WITH IV CONT	CT, nan	IDC,TCIA,MIDRC	6
_t9of9MRI IAMS post Gad	MR, nan	IDC,TCIA	6
Chest 3D	CT, nan	IDC,TCIA	6
X-RAY WRIST COMPLETE MINIMUM 3 VWS - RIGHT	CR, DX	MIDRC	6
CT CHEST WWO CONTRAST	CT, nan	IDC,TCIA,MIDRC	6
CT_biopsylung	CT, nan	IDC,TCIA	6
CT_Pelvisbonebiopsy	CT, nan	IDC,TCIA	6
CT Abdomen W/O, W/Contrast	CT, nan	IDC,TCIA	6
CT_Pelvis	CT, nan	IDC,TCIA	6
CT CHEST/ABD (LIVER)	CT, SEG, nan	IDC,TCIA	6
CT Abd/Pelvis	CT, nan	IDC,TCIA	6
CT ABD WO IV CONT	CT, nan	IDC,TCIA,MIDRC	6
CT_Abdomen	CT, nan	IDC,TCIA	6
_t5of9MRI Stereo Gamma Knife	MR, nan	IDC,TCIA	6
CTCH2	CT, nan	IDC,TCIA	6
_t4of7  MRI IAMS	MR, nan	IDC,TCIA	6
XR LEFT ELBOW 3+ VIEWS	CR, DX	MIDRC	6
_t4of6MRI IAMS	MR, nan	IDC,TCIA	6
CT Chest Abdomen and Pelvis With Contrast	RTSTRUCT, nan	IDC,TCIA	6
CT ANGIOGRAM CHEST PULMONARY EMBOLISM W CONTRAST	CT	MIDRC	6
CT Chest w/ IV Contrast	CT	MIDRC	6
CT Chest without contrast	CT, SEG, nan	IDC,TCIA	6
_t3of3MRI Stereo Gamma Knife gad	MR, nan	IDC,TCIA	6
_t3of3MRI Head	MR, nan	IDC,TCIA	6
CT ABD (LIVER)	SEG, nan	IDC,TCIA	6
Outside Read or Comparison NEURO CT	CT, nan	IDC,TCIA	6
Thorax^NON_CONTRAST_CHEST (Adult)	CT, nan	IDC,TCIA	6
Thorax^1ROUTINECHEST (Adult)	CT, nan	IDC,TCIA	6
Thorax^CHEST_WITHOUT_WITH_HI_RES_CUTS (Adult)	CT	MIDRC	6
Thorax^CHEST_ROUTINE (Adult)	CT, nan	IDC,TCIA	6
PET RESEARCH	CT, nan	IDC,TCIA	6
Thorax^CHEST_LIVER (Adult)	CT, nan	IDC,TCIA	6
C/A ADRENAL CHAR	CT, nan	IDC,TCIA	6
PET TUM SKULL/MID-THIGH-CT W/O	SEG, nan	IDC,TCIA	6
MRI CERVICAL SPINE WO/W IV CONTRAST	MR	MIDRC	6
Thorax^1_CHEST_WITH (Adult)	CT, nan	IDC,TCIA	6
Abdomen^1CAP_WC (Adult)	CT, nan	IDC,TCIA	6
MRI KNEE WITHOUT CONTRAST - RIGHT	MR	MIDRC	6
MRI Bladder	MR, nan	IDC,TCIA	6
Thorax^1ChestRoutine (Adult)	CT, nan	IDC,TCIA	6
MRI BREAST/UNILAT WO/WITH CON	MR	IDC	6
BRZUCH+C	RTSTRUCT, SEG, nan	IDC,TCIA	6
MRI BREAST, BILATERAL	MR	IDC	6
PET/CT SPN	SEG, nan	IDC,TCIA	6
PET/CT Tumor Img. Skull Base to Mid-thigh	CT, SEG, nan	IDC,TCIA	6
Thorax^02CAP_Routine (Adult)	CT, nan	IDC,TCIA	6
Thorax^CHEST_WITH_Customized (Adult)	CT	MIDRC	6
MRI ABD W WO CON	MR, nan	IDC,TCIA	6
AP	CT, nan	IDC,TCIA	6
LT BREAST STUDY	MR, nan	IDC,TCIA	6
Abdomen	US, DX, SEG, nan	ACRdart,TCIA,IDC,MIDRC	6
JHN CHEST OP	CT	MIDRC	6
JOIEN CT CHEST	CT	MIDRC	6
Abdomen acute series	CR	MIDRC	6
Abdomen^01 ABD_PEL	CT, nan	IDC,TCIA	6
PET Lung Cancer Restage I	SEG, nan	IDC,TCIA	6
L SPINE	SEG, nan	IDC,TCIA	6
LEFT THIGH C+	MR, nan	IDC,TCIA	6
PET MULTIPLE MYELOMA (W/LOW DOSE CT)	PT,CT	MIDRC	6
Abdomen^04 CA one Run	CT, nan	IDC,TCIA	6
CAP WITH	CT, SEG, nan	IDC,TCIA	6
LUNG MASS	PT, nan	IDC,TCIA	6
MRI PELVIS wo&w	MR, nan	IDC,TCIA	6
CAP W/O	CT, nan	IDC,TCIA	6
Abdomen^02_0_AP_Routine_Abdomen_Pelvis (Adult)	CT, nan	IDC,TCIA	6
MRI PELVIS	MR, nan	IDC,TCIA	6
CAP LIVER	CT, SEG, nan	IDC,TCIA	6
Thorax^CTA_CHEST_THORACIC_DISSECTION (Adult)	CT	MIDRC	6
Thorax^01_NONCONCHEST (Adult)	SEG, nan	IDC,TCIA	6
Thorax^01_CHEST.ABD W-ABD.W	CT, nan	IDC,TCIA	6
Thorax^01 CHEST .75 COLLIMATOR	CT, nan	IDC,TCIA	6
MR PELVIS WITH AND WITHOUT CONTRAST	RTSTRUCT, nan	IDC,TCIA	6
PET^WHOLEBODY_LD90 (Adult)	RTSTRUCT, PT, nan	IDC,TCIA	6
PET^WHOLEBODY_LONG_LD90 (Adult)	CT, PT, nan	IDC,TCIA	6
Abdomen^DE_ROUTINE_AP_WITH_OVER_50 (Adult)	CT	MIDRC	6
MR BREAST, BIL	MR, SEG, nan	IDC,TCIA	6
MR BREAST, UNILATERAL W/WO CONT	MR	ACRdart,IDC	6
Research	RTSTRUCT, SEG, nan	IDC,TCIA	6
MRI Abdomen WWO Contrast	SEG, nan	IDC,TCIA	6
MR NONE SPECTROSCOPY	MR, SEG, nan	IDC,TCIA	6
RECTUM	CT, nan	IDC,TCIA	6
TRAUMA CT ABD PEL 2PHASE WITH IV CON WITH CHEST IMAGES	CT, nan	IDC,TCIA,MIDRC	6
MR PROSTATE WO CONTRAST	SEG, nan	IDC,TCIA	6
R-BREAST	MR, nan	IDC,TCIA	6
MR Research wo w 30 minutes	MR	ACRdart,IDC	6
Abdomen^ROUTINE_AP_WITH_UNDER_50_OVER_250_Customized (Adult)	CT	MIDRC	6
MRI ABDOMEN W+WO CONTRAST	MR, SEG, nan	IDC,TCIA	6
Pelvis^CT_PELVIS_WITH (Adult)	CT	MIDRC	6
PROSTATE BOOST	CT, nan	IDC,TCIA	6
MRI ABD WWO IV CONT	MR, nan	IDC,TCIA,MIDRC	6
Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5mm	CT, nan	IDC,TCIA	6
Abdomen^CA.AP W (Adult)	CT, nan	IDC,TCIA	6
Abdomen^BRZUCH_3_FAZOWY (Adult)	RTSTRUCT, nan	IDC,TCIA	6
FOREIGN CT ABD AND/OR PEL - CD	CT, nan	IDC,TCIA	6
MM MAMMOGRAM SCREENING DIGITAL DDI	MG	ACRdart,IDC	6
Abdomen^23NIH_COLO_IRB1221-00 (Adult)	CT, nan	IDC,TCIA	6
PETCT FDG VERTEX TO MID THIGH (NON DIAGNOSTIC CT)	CT, PT	MIDRC	6
TAVR OP	CT	MIDRC	6
T/A/P W/C	CT, SEG, nan	IDC,TCIA	6
BREAST^BREAST MASS	MR, nan	IDC,TCIA	6
PETCT INITIAL TREATMEN	SEG, nan	IDC,TCIA	6
Abdomen^7MCV_VIRTUAL_COLONOSCOPY (Adult)	CT, nan	IDC,TCIA	6
T SPINE	CT, SEG, nan	IDC,TCIA	6
Specials^1PETCT_WholeBody	SEG, nan	IDC,TCIA	6
PETCT LUNG NOD	SEG, nan	IDC,TCIA	6
PETCT SUBSEQUENT TREATMENT STRATEGY [IMG15078]	SEG, nan	IDC,TCIA	6
PET^1PETCTMATCH_TX_WholeBody (Adult)	SEG, nan	IDC,TCIA	6
PET^1PETCTMATCH_WholeBody (Adult)	CT, SEG, nan	IDC,TCIA	6
BREAST LESION	MR	IDC	6
Abdomen^BRZUCH (Adult)	RTSTRUCT, CT, nan	IDC,TCIA	6
Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x1.5mm	CT, nan	IDC,TCIA	6
CH/ABD/PELVIS	SEG, nan	IDC,TCIA	6
CAP (LIVER)	CT, SEG, nan	IDC,TCIA	6
Pelvic Cavity CT Enhanced	CT, nan	IDC,TCIA	6
UROGRAM OVER 35(Adult)	CT	MIDRC	6
Thorax^PEDS__CAP_WITH (Child)	CT	MIDRC	6
Vascular^CH03C_FLASH_CHST_W_PE (Adult)	CT	MIDRC	6
PELVIS FULL	CT, nan	IDC,TCIA	6
MRI W/WO CONT UN	MR, nan	IDC,TCIA	6
US_Abdomen	US, CT, XA, nan	IDC,TCIA	6
CHEST PULMONARY EMBOLISM CTA	CT	MIDRC	6
Mamm bil 2v w/TOMO	MG	IDC	6
Head^CODE_STROKE_CTA_WITH_PERFUSION_WS (Adult)	CT	MIDRC	6
MR_BREAST-LT	MR, nan	IDC,TCIA	6
CHEST IV IP	CT	MIDRC	6
CHEST W/CONTRAST	CT, nan	IDC,TCIA	6
Head^FACE_WITHOUT (Adult)	CT	MIDRC	6
Thorax^PEDS__CHEST_WITHOUT (Child)	CT	MIDRC	6
MRM-6667	MR, nan	IDC,TCIA	6
ANUS	CT, nan	IDC,TCIA	6
PET BREAST CANCER (W/LOW DOSE CT)	PT,CT	MIDRC	6
MRI_T_Spine	MR, nan	IDC,TCIA	6
ACRIN6667	MR, nan	IDC,TCIA	6
Thorax^XL_CAP_WO (Adult)	CT	MIDRC	6
MRI_CSpine	MR, nan	IDC,TCIA	6
MRI T Spine	MR, nan	IDC,TCIA	6
ACRIN6667 RESEARCH	MR, nan	IDC,TCIA	6
ABD/PEL (LIVER)	SEG, nan	IDC,TCIA	6
FORFILE CD CT ABD WITHOUT CONTRAST	CT, nan	IDC,TCIA	6
Thorax^LUNG_CANCER_SCREENING_CHEST_WO (Adult)	CT	MIDRC	6
Group-487 Cells	MR, nan	IDC,TCIA	6
WB FDG LUNG	SEG, PT, nan	IDC,TCIA	6
OSF CT ABDOMEN	CT, SEG, nan	IDC,TCIA	6
Head^FACE_WITHOUT_Customized (Adult)	CT	MIDRC	5
RM CHEST PA AND LEFT LATERAL ONLY	DX	MIDRC	5
CT ANGIOGRAM FOR PULMONARY EMBOLISM [CH]	CT	MIDRC	5
CHEST IP	CT, nan	IDC,TCIA,MIDRC	5
MG	MG	ACRdart	5
CT ABDOMEN PELVIS WO C	CT	MIDRC	5
CT CHEST WITH CONTRAST (S)	CT	MIDRC	5
CT ABDOMEN PELVIS W WO CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	5
MR BREAST BILAT	MR	IDC	5
CT BRAIN WITHOUT CONTRAST (S)	CT	MIDRC	5
MRI BONE OUTSIDE IMAGE	MR	MIDRC	5
Head^Maxillofacial1 (Adult)	CT	MIDRC	5
Abdomen^HEMATURIA_GR_OVER45 (Adult)	CT	MIDRC	5
Abdomen^12_CTA_AAA (Adult)	CT	MIDRC	5
MRI Breast w/w/o Contrast bilat (Birad)	MR	ACRdart,IDC	5
Thorax^CHEST_ABD_PELVIS (Adult)	RTSTRUCT, CT, nan	IDC,TCIA,MIDRC	5
X-RAY WRIST COMPLETE MINIMUM 3 VWS - LEFT	DX	MIDRC	5
CT ABDOMEN AND PELVIS WITHOUT CONTRAST	CT, nan	IDC,TCIA,MIDRC	5
Frozen	CT	IDC	5
XR RIGHT KNEE 4+ VIEWS (TRAUMA)	CR, DX	MIDRC	5
Bilateral Ribs	CR	MIDRC	5
MRI BR BILAT W&WO CONTRAST	MR	IDC	5
X-RAY KNEE COMPLETE 4 OR MORE VIEWS - LEFT	CR, DX	MIDRC	5
HIP COMPLETE LEFT MIN 2 VWS	CR, DX	MIDRC	5
Vascular^CT_PE (Adult)	CT	MIDRC	5
CHEST W/O	CT, nan	IDC,TCIA,MIDRC	5
PORT - CXR	CR, DX	MIDRC	5
ABDOMEN PELVIS WITH(Adult)	CT	MIDRC	5
CT HEART CALCIUM SCORE WITHOUT CONTRAST	CT	MIDRC	5
/PRO/BD Pelvis w	nan	TCIA	5
NM PET CANCER ANY SITE	PT,CT	MIDRC	5
BREAST RESEARCH	MR, SEG, nan	IDC,TCIA,ACRdart	5
CT CT PULMONARY ANGIOGRAPHY	CT	MIDRC	5
Abdomen^ABD_PELVIS_WITH (Adult)	CT	MIDRC	5
TomoHD bds	CT, MG	ACRdart,IDC	5
PRO/BD Pelvis w	SEG	IDC	5
CT HEAD W CONTRAST	CT	MIDRC	5
CT CT-CHEST W/O CONTRAST	CT	MIDRC	5
X-RAY FOOT 2 VIEWS - LEFT	DX	MIDRC	5
PETCT FDG VERTEX TO TOES (NON DIAGNOSTIC CT)	NM,PT, CT, PT	MIDRC	5
BREAST^BREAST 8.25.14	MR	ACRdart	5
SHOULDER 3 VIEWS LEFT	CR, DX	MIDRC	5
CT PELVIS WO CONTRAST (CYSTOGRAM)	CT	MIDRC	5
X-RAY ESOPHAGUS DOUBLE CONTRAST W/CXR1V	DX	MIDRC	5
TO - INITIAL ULTRASOUND	US	ACRdart	5
CHEST PA	CR	MIDRC	5
BREAST ULTRASOUND	US	ACRdart	5
CT CHEST LUNG CANCER S	CT	MIDRC	5
XR EG TUBE PLACEMENT	CR, DX	MIDRC	5
CAP COMBO IP	CT	MIDRC	5
CH-CHEST 1V CR	CR	MIDRC	5
XR KNEE LT 3 VIEWS	CR, DX	MIDRC	5
CT CHEST W IVCON	CT	MIDRC	5
CT_Neck	CT, nan	IDC,TCIA	5
Thorax^LOW_DOSE_CHEST_UNDER_30_BMI (Adult)	CT	MIDRC	5
CT ABD-PELV W/ CM	CT	MIDRC	5
XR FOOT RIGHT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	5
JCCI CT CAP COMB	CT	MIDRC	5
Thorax^LARGE_CHEST_WITH_IV_CONTRAST (Adult)	nan	TCIA	5
XR LEFT FOREARM 2 VIEWS	CR, DX	MIDRC	5
XR LEFT HIP 1 VIEW PORTABLE	CR, DX	MIDRC	5
KNEE 3 VIEWS RIGHT	CR, DX	MIDRC	5
MRI SHOULDER WO CONTRAST - RIGHT	MR	MIDRC	5
Thorax^C_A_P_WO_GR (Adult)	CT	MIDRC	5
CT ABD/PEL RENAL STONE LOW DOSE W/O CONTRAST	CT	MIDRC	5
LCMC CT CHEST PE PROTOCOL	CT	MIDRC	5
XR ABDOMEN (W/UPRIGHT)	CR, DX	MIDRC	5
Thorax^PEDS__CHEST_WITH (Child)	CT	MIDRC	5
MAMMO SCREEN BILAT DIGITAL	MG	ACRdart,IDC	5
PET MULTIPLE MYELOMA (	PT,CT	MIDRC	5
Thorax^FLASH_CHEST_WITH (Adult)	CT	MIDRC	5
CTA CHEST FOR PULMONARY EMBOLUS WITH CONTRAST	CT	MIDRC	5
XR LEFT SHOULDER 1 VIEW	CR, DX	MIDRC	5
XR RIGHT ANKLE 2 VIEWS	CR, DX	MIDRC	5
MA MAMMOGRAM SCREENING BILATERAL W / TOMO	MG	ACRdart	5
MAMMO 3D DIAG LEFT	MG	ACRdart,IDC	5
CT CHEST W, ABDOMEN PELVIS WWO	CT	MIDRC	5
Thorax^XL_CAP_WITH (Adult)	CT	MIDRC	5
MRI HIP WITHOUT CONTRAST-RIGHT	MR	MIDRC	5
CHEST - 2 VIEWS	CR	MIDRC	5
MAM MAMMOGRAPHY UNILATERAL WITH TOMOSYNTHESIS	MG	ACRdart,IDC	5
Thorax^LOW_DOSE_LUNG_OVER_30_BMI (Adult)	CT	MIDRC	5
Cardiac^LAMODELTEST (Adult)	CT	MIDRC	5
IR CHEST TUBE PLACEMENT (ORERABLE BY IR SERVICE ONLY)	US, CT	MIDRC	5
OS CT CHEST COMPARE-NO READ	CT, nan	IDC,TCIA	4
MRI Spine	MR, nan	IDC,TCIA	4
MRI Pelvis W/O&W Contrast	MR	ACRdart	4
_t4of5  External Images for PACS	MR, nan	IDC,TCIA	4
Outside Digital Media	CT, nan	IDC,TCIA	4
_t5of8MRI Stereo Gamma Knife	MR, nan	IDC,TCIA	4
CT COLONGRAPHY	CT, nan	IDC,TCIA	4
CT Chest Without Contrast	CT, nan	IDC,TCIA	4
_t5of9MRI Stereo Gamma Knife gad	MR, nan	IDC,TCIA	4
MRI BREAST BILAT W-WO-RH	SEG, nan	IDC,TCIA	4
CT CHEST & ABDOMEN-CHEST	CT, nan	IDC,TCIA	4
CT CHEST/THORAX W/CON	CT, nan	IDC,TCIA	4
CT CHEST NO CONTRAST	CT, nan	IDC,TCIA	4
CT CHEST & ABDOMEN, ENHANCED-CHEST	CT, nan	IDC,TCIA	4
CT CHEST/ABDOMEN W/CON	CT, nan	IDC,TCIA	4
_t3of6  MRI IAMS	MR, nan	IDC,TCIA	4
PET^CC_PETWB_CT_CAP (Adult)	CT, SEG, nan	IDC,TCIA	4
CT CORONARY ANGIO	CT	AIMI	4
POS	CT, nan	IDC,TCIA	4
_t5of5  MRI IAMS	MR, nan	IDC,TCIA	4
Neck^DE_CTA_NECK (Adult)	CT	MIDRC	4
MRI ABDOMEN W/WO CONTRAST (74183)	MR, nan	IDC,TCIA	4
CT Chest W/ Contrast	CT	MIDRC	4
OS STDY CT BODY INTERPRET	CT, SEG, nan	IDC,TCIA	4
_t4of6  MRI Head	MR, nan	IDC,TCIA	4
OSF CT ABD	SEG, nan	IDC,TCIA	4
PRONE PELVIS	CT, nan	IDC,TCIA	4
CT CHEST ABDOMEN AND PELVIS WO CONTRAST	CT	MIDRC	4
CT CHEST OUTSIDE IMAGE	CT	MIDRC	4
PET ENDOMETRIAL OR CER	PT,CT	MIDRC	4
MRI Right Breast with and without Contrast	MR, nan	IDC,TCIA	4
PORTABLE CHEST - 1 VIEW	CR	MIDRC	4
_t4of7  External Images for PACS	MR, nan	IDC,TCIA	4
PET CT Wholebody	CT, nan	IDC,TCIA	4
CT CHEST PE	CT, SEG, nan	IDC,TCIA	4
CT Chest With Contrast	CT, nan	IDC,TCIA	4
CT CHEST ENHANCED=CH	RTSTRUCT, nan	IDC,TCIA	4
MRI ABDOMEN W/O CONTRAST	MR	MIDRC	4
NSCL CA RESTG	SEG, nan	IDC,TCIA	4
POST CHEST	SEG, nan	IDC,TCIA	4
MRI Abd wo	MR, nan	IDC,TCIA	4
_t6of11  MRI IAMS	MR, nan	IDC,TCIA	4
MRI ELBOW W/O CONTRAST-LEFT	MR	MIDRC	4
MRI BREAST BILATERAL - WITH AND WITHOUT CONTRAST	MR	ACRdart,IDC	4
MRM-6667-	MR, nan	IDC,TCIA	4
MRI Left Breast with and without Contrast	MR, nan	IDC,TCIA	4
PET REFERENCE ONLY	SEG, nan	IDC,TCIA	4
MRI LT. BREAST	MR, nan	IDC,TCIA	4
PET/CT Sk-Thigh	SEG, nan	IDC,TCIA	4
MRI LOWER EXTREMITY NOT JOINT WITHOUT CONTRAST RIGHT	MR, nan	IDC,TCIA	4
MRI L Spine	MR, nan	IDC,TCIA	4
a p	CT, nan	IDC,TCIA	4
MRM - 6667	MR, nan	IDC,TCIA	4
MRI BREAST W/CONTRAST	MR, nan	IDC,TCIA	4
ap	CT, nan	IDC,TCIA	4
PET/CT NCAP	SEG, nan	IDC,TCIA	4
MRI_WholeBody	MR, nan	IDC,TCIA	4
PET/CT LUNGS	SEG, nan	IDC,TCIA	4
PET CT TUMOR, WHOLE BO	CT, nan	IDC,TCIA	4
MRI_TSpine	MR, nan	IDC,TCIA	4
PET/CT LUNG NODULES	SEG, nan	IDC,TCIA	4
MRI Kidneys	MR, nan	IDC,TCIA	4
PET CARDIAC FLOW	CT, nan	IDC,TCIA	4
MRI_Brain	MR, nan	IDC,TCIA	4
MRI INTERPRETATION OF OUTSIDE ABDOMINAL IMAGES	SEG, nan	IDC,TCIA	4
MRI C Spine	MR, nan	IDC,TCIA	4
CT CHEST AND ABDOMEN W	CT, nan	IDC,TCIA	4
PET TUMOR METABOLISM	SEG, PT, nan	IDC,TCIA	4
MRI GUIDED BREAST BIOPSY AUT VAC ROT LEFT	MR	ACRdart,IDC	4
MRI FOREIGN IMAGES	MR, nan	IDC,TCIA	4
PET/CT WB	SEG, nan	IDC,TCIA	4
ct cap	CT, nan	IDC,TCIA	4
CT CHEST/ABD/PEL LIVER	CT, SEG, nan	IDC,TCIA	4
_t8of8_MRI HEAD	MR, nan	IDC,TCIA	4
PET NON-SMALL CELL LUNG INITIAL STAGING	SEG, nan	IDC,TCIA	4
NM PET SCAN RADIATION	RTSTRUCT, CT	IDC	4
CT CHEST-CHEST	CT, nan	IDC,TCIA	4
NM PET CT Routine Skull to Thigh 18 FDG Solid Tumor	CT, PT, nan	IDC,TCIA	4
PET^02_CBM_Lung_Only (Adult)	CT, SEG, nan	IDC,TCIA	4
PET NSC LUNG INIT STG	SEG, nan	IDC,TCIA	4
MRI BREAST RESEARCH ECOG ACRIN W WO CONTRAST	MR	ACRdart,IDC	4
PET NSC LUNG RESTAGE R	SEG, nan	IDC,TCIA	4
MRI BREAST UNI 1ST EX?	MR, nan	IDC,TCIA	4
Mammogram Screening Digital	MG	ACRdart	4
MRI-PELVIS	RTSTRUCT, nan	IDC,TCIA	4
MSK - Thigh (C+)	RTSTRUCT, MR, nan	IDC,TCIA	4
lung3D	SEG, nan	IDC,TCIA	4
PET CT WHOLE BODY	CT, SEG, nan	IDC,TCIA	4
lung+c GSI	CT, nan	IDC,TCIA	4
CT CHEST ABDOMEN PELVIS W/O IV CON	CT	MIDRC	4
_t7of7  MRI IAMS	MR, nan	IDC,TCIA	4
CT CHEST W CON	CT, SEG, nan	IDC,TCIA,MIDRC	4
_t7of7MRI Head	MR, nan	IDC,TCIA	4
CT CHEST ABDOMEN PELVIS W/WO CONTRAST	CT, SEG, nan	IDC,TCIA	4
_t7of7MRI IAMS	MR, nan	IDC,TCIA	4
PET PHILIPS	PT, nan	IDC,TCIA	4
_t7of7_MRI IAMS	MR, nan	IDC,TCIA	4
e+1 ACRIN 6667 CONTRAL	MR, nan	IDC,TCIA	4
_t8of8MRI IAMS	MR, nan	IDC,TCIA	4
_t9of9_MRI HEAD	MR, nan	IDC,TCIA	4
Whole-Body PET	PT, nan	IDC,TCIA	4
PT706B/READ	SEG, nan	IDC,TCIA	4
CT THORAX WO CONTRAST	CT	MIDRC	4
LUNG NODULE	PT, nan	IDC,TCIA	4
CTA CHEST ABDOMEN PELVIS ANGIO	CT	MIDRC	4
Thorax^FLASH_CTA_CHEST (Adult)	CT	MIDRC	4
